Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,260626400.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_REPLACEMENT,9830368.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_M_EVICT,3129818.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,852259.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,2652927.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,2636880.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_REPLACEMENT,21350.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_M_EVICT,4514.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,2050122000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,1107056000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,1106926000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_REPLACEMENT,65858870.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_M_EVICT,963753.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,524072300.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,232338600.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,232310400.000000
seq-perfmon,BaseDeformationMapping apply,L1D_REPLACEMENT,6047846.000000
seq-perfmon,BaseDeformationMapping apply,L1D_M_EVICT,362012.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,3749792000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1595529000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1595457000.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_REPLACEMENT,48743870.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_M_EVICT,3510641.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,10250920000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,5065082000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,5065152000.000000
seq-perfmon,Simu,L1D_REPLACEMENT,170511000.000000
seq-perfmon,Simu,L1D_M_EVICT,20317120.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1092597000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,385328900.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,385303600.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_REPLACEMENT,9120918.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_M_EVICT,2059564.000000
