Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.080629
seq-perfmon,BaseStrainMapping applyJT,call count,1325.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000036
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.357834
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2650.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075612
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.520845
seq-perfmon,BaseDeformationMapping applyJ,call count,2456.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.013197
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.121871
seq-perfmon,BaseStrainMapping applyJ,call count,1228.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.080629
seq-perfmon,BaseStrainMapping applyJT,call count,1325.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000036
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.357834
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2650.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075612
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.520845
seq-perfmon,BaseDeformationMapping applyJ,call count,2456.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.013197
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.121871
seq-perfmon,BaseStrainMapping applyJ,call count,1228.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.080629
seq-perfmon,BaseStrainMapping applyJT,call count,1325.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000036
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.357834
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2650.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075612
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.520845
seq-perfmon,BaseDeformationMapping applyJ,call count,2456.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.013197
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.121871
seq-perfmon,BaseStrainMapping applyJ,call count,1228.000000
