Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.022378
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.006903
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.308459
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016813
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.028864
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2995.760759
seq-perfmon,BaseStrainMapping applyJT,CPI,0.580045
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.049872
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.011463
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.229841
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001261
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001718
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2994.466098
seq-perfmon,BaseStrainMapping apply,CPI,0.472497
seq-perfmon,BaseStrainMapping apply,L2 request rate,0.030203
seq-perfmon,BaseStrainMapping apply,L2 miss rate,0.007454
seq-perfmon,BaseStrainMapping apply,L2 miss ratio,0.246781
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000051
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001349
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],2999.658646
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.159233
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.118105
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.008314
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.070399
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000296
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.011800
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3005.450676
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.079717
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.121464
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.010025
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.082533
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000359
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.011211
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3012.811767
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.154076
seq-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.127968
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.011100
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.086739
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.179644
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.203664
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.785118
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.406021
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.036890
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.006605
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.179055
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.022429
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.033825
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2994.957683
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.483027
seq-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.039225
seq-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.007894
seq-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.201245
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.027196
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.029670
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.537806
seq-perfmon,BaseDeformationMapping apply,CPI,0.445154
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.032823
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.011126
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.338973
seq-perfmon,Simu,Runtime (RDTSC) [s],1.981998
seq-perfmon,Simu,Runtime unhalted [s],1.083957
seq-perfmon,Simu,Clock [MHz],2992.802147
seq-perfmon,Simu,CPI,0.608013
seq-perfmon,Simu,L2 request rate,0.043839
seq-perfmon,Simu,L2 miss rate,0.010902
seq-perfmon,Simu,L2 miss ratio,0.248684
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.026312
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.037862
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2998.856305
seq-perfmon,BaseStrainMapping applyJ,CPI,0.477626
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.031872
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.007240
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.227151
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.220464
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.244808
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2994.560103
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.412973
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.022378
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.006903
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.308459
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016813
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.028864
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2995.760759
seq-perfmon,BaseStrainMapping applyJT,CPI,0.580045
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.049872
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.011463
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.229841
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001261
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001718
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2994.466098
seq-perfmon,BaseStrainMapping apply,CPI,0.472497
seq-perfmon,BaseStrainMapping apply,L2 request rate,0.030203
seq-perfmon,BaseStrainMapping apply,L2 miss rate,0.007454
seq-perfmon,BaseStrainMapping apply,L2 miss ratio,0.246781
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000051
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001349
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],2999.658646
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.159233
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.118105
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.008314
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.070399
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000296
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.011800
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3005.450676
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.079717
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.121464
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.010025
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.082533
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000359
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.011211
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3012.811767
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.154076
seq-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.127968
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.011100
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.086739
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.179644
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.203664
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.785118
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.406021
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.036890
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.006605
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.179055
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.022429
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.033825
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2994.957683
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.483027
seq-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.039225
seq-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.007894
seq-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.201245
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.027196
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.029670
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.537806
seq-perfmon,BaseDeformationMapping apply,CPI,0.445154
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.032823
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.011126
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.338973
seq-perfmon,Simu,Runtime (RDTSC) [s],1.981998
seq-perfmon,Simu,Runtime unhalted [s],1.083957
seq-perfmon,Simu,Clock [MHz],2992.802147
seq-perfmon,Simu,CPI,0.608013
seq-perfmon,Simu,L2 request rate,0.043839
seq-perfmon,Simu,L2 miss rate,0.010902
seq-perfmon,Simu,L2 miss ratio,0.248684
