Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.126382
seq-perfmon,BaseStrainMapping applyJ,call count,3016.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.350173
seq-perfmon,BaseDeformationMapping applyJ,call count,6242.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082395
seq-perfmon,BaseStrainMapping applyJT,call count,3210.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005247
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000101
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000316
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3210.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000270
seq-perfmon,BaseDeformationMapping applyJ else,call count,2806.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.255136
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6420.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054210
seq-perfmon,BaseStrainMapping applyDJT,call count,1500.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.057353
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.879334
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.126382
seq-perfmon,BaseStrainMapping applyJ,call count,3016.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.350173
seq-perfmon,BaseDeformationMapping applyJ,call count,6242.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082395
seq-perfmon,BaseStrainMapping applyJT,call count,3210.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005247
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000101
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000316
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3210.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000270
seq-perfmon,BaseDeformationMapping applyJ else,call count,2806.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.255136
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6420.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054210
seq-perfmon,BaseStrainMapping applyDJT,call count,1500.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.057353
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.879334
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.126382
seq-perfmon,BaseStrainMapping applyJ,call count,3016.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.350173
seq-perfmon,BaseDeformationMapping applyJ,call count,6242.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082395
seq-perfmon,BaseStrainMapping applyJT,call count,3210.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005247
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000101
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000316
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3210.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000270
seq-perfmon,BaseDeformationMapping applyJ else,call count,2806.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.255136
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6420.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054210
seq-perfmon,BaseStrainMapping applyDJT,call count,1500.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.057353
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.879334
seq-perfmon,Simu,call count,1.000000
