Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000251
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.012322
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3002.887944
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.083166
seq-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.237581
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.257401
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.287458
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2994.361643
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.767654
seq-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,4.363311
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.054595
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.061726
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2993.823037
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.368967
seq-perfmon,BaseStrainMapping applyDJT,Load to Store ratio,1.878263
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.057175
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.062129
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.300944
seq-perfmon,BaseDeformationMapping apply,CPI,0.564529
seq-perfmon,BaseDeformationMapping apply,Load to Store ratio,2.024232
seq-perfmon,Simu,Runtime (RDTSC) [s],2.910404
seq-perfmon,Simu,Runtime unhalted [s],1.867506
seq-perfmon,Simu,Clock [MHz],2992.732236
seq-perfmon,Simu,CPI,0.622780
seq-perfmon,Simu,Load to Store ratio,1.512173
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.127691
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.141718
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.994942
seq-perfmon,BaseStrainMapping applyJ,CPI,0.371076
seq-perfmon,BaseStrainMapping applyJ,Load to Store ratio,1.396137
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.354089
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.383484
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.796693
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.478630
seq-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,1.235972
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.083141
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.098102
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2993.894939
seq-perfmon,BaseStrainMapping applyJT,CPI,0.409633
seq-perfmon,BaseStrainMapping applyJT,Load to Store ratio,2.098238
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.005265
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.005747
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2993.992743
seq-perfmon,BaseStrainMapping apply,CPI,0.378607
seq-perfmon,BaseStrainMapping apply,Load to Store ratio,1.325273
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000103
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.002656
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3006.987558
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.108663
seq-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.223757
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000285
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.013879
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3004.622605
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.045986
seq-perfmon,BaseDeformationMapping applyJT vec else,Load to Store ratio,2.226488
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000251
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.012322
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3002.887944
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.083166
seq-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.237581
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.257401
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.287458
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2994.361643
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.767654
seq-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,4.363311
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.054595
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.061726
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2993.823037
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.368967
seq-perfmon,BaseStrainMapping applyDJT,Load to Store ratio,1.878263
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.057175
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.062129
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.300944
seq-perfmon,BaseDeformationMapping apply,CPI,0.564529
seq-perfmon,BaseDeformationMapping apply,Load to Store ratio,2.024232
seq-perfmon,Simu,Runtime (RDTSC) [s],2.910404
seq-perfmon,Simu,Runtime unhalted [s],1.867506
seq-perfmon,Simu,Clock [MHz],2992.732236
seq-perfmon,Simu,CPI,0.622780
seq-perfmon,Simu,Load to Store ratio,1.512173
