Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.127326
seq-perfmon,BaseStrainMapping applyJ,call count,3037.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.351908
seq-perfmon,BaseDeformationMapping applyJ,call count,6284.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.083026
seq-perfmon,BaseStrainMapping applyJT,call count,3231.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005233
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000096
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000302
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3231.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000239
seq-perfmon,BaseDeformationMapping applyJ else,call count,2827.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.257913
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6462.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054319
seq-perfmon,BaseStrainMapping applyDJT,call count,1511.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.057577
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.900209
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.127326
seq-perfmon,BaseStrainMapping applyJ,call count,3037.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.351908
seq-perfmon,BaseDeformationMapping applyJ,call count,6284.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.083026
seq-perfmon,BaseStrainMapping applyJT,call count,3231.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005233
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000096
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000302
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3231.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000239
seq-perfmon,BaseDeformationMapping applyJ else,call count,2827.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.257913
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6462.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054319
seq-perfmon,BaseStrainMapping applyDJT,call count,1511.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.057577
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.900209
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.127326
seq-perfmon,BaseStrainMapping applyJ,call count,3037.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.351908
seq-perfmon,BaseDeformationMapping applyJ,call count,6284.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.083026
seq-perfmon,BaseStrainMapping applyJT,call count,3231.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005233
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000096
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000302
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3231.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000239
seq-perfmon,BaseDeformationMapping applyJ else,call count,2827.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.257913
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6462.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054319
seq-perfmon,BaseStrainMapping applyDJT,call count,1511.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.057577
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.900209
seq-perfmon,Simu,call count,1.000000
