Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.066995
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.023325
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.348159
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.081889
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.096672
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2994.117608
seq-perfmon,BaseStrainMapping applyJT,CPI,0.411529
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.046757
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.013416
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.286928
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.005277
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.005760
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2993.759068
seq-perfmon,BaseStrainMapping apply,CPI,0.379520
seq-perfmon,BaseStrainMapping apply,L2 request rate,0.024907
seq-perfmon,BaseStrainMapping apply,L2 miss rate,0.006785
seq-perfmon,BaseStrainMapping apply,L2 miss ratio,0.272432
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000107
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.002698
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3013.572880
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.158391
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.115934
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.009703
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.083693
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000331
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.013772
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2998.243599
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.081295
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.105800
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.008578
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.081076
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000306
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.012072
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2992.610307
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.087975
seq-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.109748
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.009033
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.082304
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.252359
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.281651
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.236552
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.766801
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.129838
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.038195
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.294173
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.053636
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.060740
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2993.573721
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.370642
seq-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.039333
seq-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.010070
seq-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.256016
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.058055
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.063061
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.338867
seq-perfmon,BaseDeformationMapping apply,CPI,0.572996
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.072890
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.025748
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.353236
seq-perfmon,Simu,Runtime (RDTSC) [s],2.859721
seq-perfmon,Simu,Runtime unhalted [s],1.833614
seq-perfmon,Simu,Clock [MHz],2992.792330
seq-perfmon,Simu,CPI,0.622856
seq-perfmon,Simu,L2 request rate,0.069151
seq-perfmon,Simu,L2 miss rate,0.021612
seq-perfmon,Simu,L2 miss ratio,0.312532
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.125317
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.138956
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.394954
seq-perfmon,BaseStrainMapping applyJ,CPI,0.371395
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.028678
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.008151
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.284235
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.346694
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.375674
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.190221
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.478476
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.066995
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.023325
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.348159
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.081889
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.096672
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2994.117608
seq-perfmon,BaseStrainMapping applyJT,CPI,0.411529
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.046757
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.013416
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.286928
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.005277
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.005760
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2993.759068
seq-perfmon,BaseStrainMapping apply,CPI,0.379520
seq-perfmon,BaseStrainMapping apply,L2 request rate,0.024907
seq-perfmon,BaseStrainMapping apply,L2 miss rate,0.006785
seq-perfmon,BaseStrainMapping apply,L2 miss ratio,0.272432
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000107
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.002698
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3013.572880
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.158391
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.115934
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.009703
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.083693
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000331
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.013772
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2998.243599
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.081295
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.105800
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.008578
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.081076
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000306
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.012072
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2992.610307
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.087975
seq-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.109748
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.009033
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.082304
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.252359
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.281651
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.236552
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.766801
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.129838
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.038195
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.294173
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.053636
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.060740
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2993.573721
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.370642
seq-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.039333
seq-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.010070
seq-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.256016
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.058055
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.063061
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.338867
seq-perfmon,BaseDeformationMapping apply,CPI,0.572996
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.072890
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.025748
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.353236
seq-perfmon,Simu,Runtime (RDTSC) [s],2.859721
seq-perfmon,Simu,Runtime unhalted [s],1.833614
seq-perfmon,Simu,Clock [MHz],2992.792330
seq-perfmon,Simu,CPI,0.622856
seq-perfmon,Simu,L2 request rate,0.069151
seq-perfmon,Simu,L2 miss rate,0.021612
seq-perfmon,Simu,L2 miss ratio,0.312532
