Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJT,L2_TRANS_ALL_REQUESTS,33556910.000000
seq-perfmon,BaseStrainMapping applyJT,L2_RQSTS_MISS,9642313.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,45425120.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,17159290.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,17151570.000000
seq-perfmon,BaseStrainMapping apply,L2_TRANS_ALL_REQUESTS,1135521.000000
seq-perfmon,BaseStrainMapping apply,L2_RQSTS_MISS,310749.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,2556746.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,7970686.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,7930980.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_TRANS_ALL_REQUESTS,270445.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_RQSTS_MISS,19531.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,13641220.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,42532140.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,42366210.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_TRANS_ALL_REQUESTS,1445153.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_RQSTS_MISS,93265.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,11965100.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,37283840.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,37167840.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_TRANS_ALL_REQUESTS,1315307.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_RQSTS_MISS,114029.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,1121030000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,858649000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,858323300.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_TRANS_ALL_REQUESTS,145200900.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_RQSTS_MISS,42673650.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,500676900.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,184249000.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,184178100.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_TRANS_ALL_REQUESTS,19832060.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_RQSTS_MISS,5115100.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,329369000.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,183375500.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,183330400.000000
seq-perfmon,BaseDeformationMapping apply,L2_TRANS_ALL_REQUESTS,24026620.000000
seq-perfmon,BaseDeformationMapping apply,L2_RQSTS_MISS,8490154.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,8976750000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,5608267000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,5608325000.000000
seq-perfmon,Simu,L2_TRANS_ALL_REQUESTS,619786200.000000
seq-perfmon,Simu,L2_RQSTS_MISS,193554100.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1143348000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,428717900.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,428555200.000000
seq-perfmon,BaseStrainMapping applyJ,L2_TRANS_ALL_REQUESTS,32876810.000000
seq-perfmon,BaseStrainMapping applyJ,L2_RQSTS_MISS,9387581.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,2398630000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1146722000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1146416000.000000
seq-perfmon,BaseDeformationMapping applyJ,L2_TRANS_ALL_REQUESTS,159941200.000000
seq-perfmon,BaseDeformationMapping applyJ,L2_RQSTS_MISS,55878310.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,716945100.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,294453900.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,294353400.000000
seq-perfmon,BaseStrainMapping applyJT,L2_TRANS_ALL_REQUESTS,33556910.000000
seq-perfmon,BaseStrainMapping applyJT,L2_RQSTS_MISS,9642313.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,45425120.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,17159290.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,17151570.000000
seq-perfmon,BaseStrainMapping apply,L2_TRANS_ALL_REQUESTS,1135521.000000
seq-perfmon,BaseStrainMapping apply,L2_RQSTS_MISS,310749.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,2556746.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,7970686.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,7930980.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_TRANS_ALL_REQUESTS,270445.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_RQSTS_MISS,19531.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,13641220.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,42532140.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,42366210.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_TRANS_ALL_REQUESTS,1445153.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_RQSTS_MISS,93265.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,11965100.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,37283840.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,37167840.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_TRANS_ALL_REQUESTS,1315307.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_RQSTS_MISS,114029.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,1121030000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,858649000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,858323300.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_TRANS_ALL_REQUESTS,145200900.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_RQSTS_MISS,42673650.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,500676900.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,184249000.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,184178100.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_TRANS_ALL_REQUESTS,19832060.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_RQSTS_MISS,5115100.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,329369000.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,183375500.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,183330400.000000
seq-perfmon,BaseDeformationMapping apply,L2_TRANS_ALL_REQUESTS,24026620.000000
seq-perfmon,BaseDeformationMapping apply,L2_RQSTS_MISS,8490154.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,8976750000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,5608267000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,5608325000.000000
seq-perfmon,Simu,L2_TRANS_ALL_REQUESTS,619786200.000000
seq-perfmon,Simu,L2_RQSTS_MISS,193554100.000000
