Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.172933,0.062140,0.036117,0.043233
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11994.712741,3001.758589,2995.064047,2998.678185
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.934108,0.979739,0.637624,0.733527
openmp-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],1.094593,1.094593,0.000000,0.273648
openmp-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],0.543872,0.543872,0.000000,0.135968
openmp-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],1.638465,1.638465,0.000000,0.409616
openmp-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.000536,0.000536,0.000000,0.000134
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.627401,0.156850,0.156850,0.156850
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.053788,0.022866,0.009945,0.013447
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11996.367751,3006.954786,2991.210818,2999.091938
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.670386,1.718313,0.964047,1.167596
openmp-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],1.220017,1.220017,0.000000,0.305004
openmp-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],0.718545,0.718545,0.000000,0.179636
openmp-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],1.938562,1.938562,0.000000,0.484640
openmp-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000304,0.000304,0.000000,0.000076
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.030938,0.007735,0.007735,0.007735
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.003164,0.001240,0.000631,0.000791
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],11992.765750,3007.130280,2993.709132,2998.191437
openmp-perfmon,BaseStrainMapping apply,CPI,3.277229,1.173866,0.689137,0.819307
openmp-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],1.075692,1.075692,0.000000,0.268923
openmp-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],0.570944,0.570944,0.000000,0.142736
openmp-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],1.646636,1.646636,0.000000,0.411659
openmp-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000013,0.000013,0.000000,0.000003
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000226,0.000057,0.000057,0.000057
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000548,0.000548,0.000000,0.000137
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3008.289493,3008.289493,0.000000,752.072373
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,5.823211,5.823211,0.000000,1.455803
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000980,0.000245,0.000245,0.000245
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.003902,0.003902,0.000000,0.000975
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3024.897907,3024.897907,0.000000,756.224477
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.722686,5.722686,0.000000,1.430671
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000942,0.000236,0.000236,0.000236
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.003557,0.003557,0.000000,0.000889
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3022.934172,3022.934172,0.000000,755.733543
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.730089,5.730089,0.000000,1.432522
openmp-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],1.294498,0.323624,0.323624,0.323624
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.195421,0.052337,0.046597,0.048855
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11982.636454,2998.594070,2992.318211,2995.659114
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,5.513469,1.609753,0.862799,1.378367
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],1.182606,1.182606,0.000000,0.295651
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],0.663881,0.663881,0.000000,0.165970
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],1.846486,1.846486,0.000000,0.461622
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.000598,0.000598,0.000000,0.000149
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.615527,0.153882,0.153882,0.153882
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.057297,0.023440,0.011077,0.014324
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],11998.546470,3005.343557,2992.457242,2999.636618
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.640772,1.342081,0.758188,0.910193
openmp-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],0.671269,0.671269,0.000000,0.167817
openmp-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],0.379720,0.379720,0.000000,0.094930
openmp-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],1.050989,1.050989,0.000000,0.262747
openmp-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000162,0.000162,0.000000,0.000040
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.163179,0.040795,0.040795,0.040795
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.025577,0.008840,0.005378,0.006394
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11987.451120,3000.156418,2993.783010,2996.862780
openmp-perfmon,BaseDeformationMapping apply,CPI,3.232055,1.014063,0.730405,0.808014
openmp-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],2.552479,2.552479,0.000000,0.638120
openmp-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],1.151518,1.151518,0.000000,0.287879
openmp-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],3.703997,3.703997,0.000000,0.925999
openmp-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.000151,0.000151,0.000000,0.000038
openmp-perfmon,Simu,Runtime (RDTSC) [s],12.251508,3.062877,3.062877,3.062877
openmp-perfmon,Simu,Runtime unhalted [s],0.498441,0.498441,0.000000,0.124610
openmp-perfmon,Simu,Clock [MHz],2992.805181,2992.805181,0.000000,748.201295
openmp-perfmon,Simu,CPI,1.174073,1.174073,0.000000,0.293518
openmp-perfmon,Simu,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,Simu,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,Simu,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,Simu,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.610766,0.152692,0.152692,0.152692
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.059674,0.023818,0.011603,0.014918
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11988.119796,3004.530943,2990.795817,2997.029949
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.434514,1.249284,0.716033,0.858629
openmp-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],1.332884,1.332884,0.000000,0.333221
openmp-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],0.577164,0.577164,0.000000,0.144291
openmp-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],1.910047,1.910047,0.000000,0.477512
openmp-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000292,0.000292,0.000000,0.000073
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],1.308073,0.327018,0.327018,0.327018
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.172933,0.062140,0.036117,0.043233
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11994.712741,3001.758589,2995.064047,2998.678185
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.934108,0.979739,0.637624,0.733527
openmp-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],1.094593,1.094593,0.000000,0.273648
openmp-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],0.543872,0.543872,0.000000,0.135968
openmp-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],1.638465,1.638465,0.000000,0.409616
openmp-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.000536,0.000536,0.000000,0.000134
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.627401,0.156850,0.156850,0.156850
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.053788,0.022866,0.009945,0.013447
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11996.367751,3006.954786,2991.210818,2999.091938
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.670386,1.718313,0.964047,1.167596
openmp-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],1.220017,1.220017,0.000000,0.305004
openmp-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],0.718545,0.718545,0.000000,0.179636
openmp-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],1.938562,1.938562,0.000000,0.484640
openmp-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000304,0.000304,0.000000,0.000076
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.030938,0.007735,0.007735,0.007735
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.003164,0.001240,0.000631,0.000791
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],11992.765750,3007.130280,2993.709132,2998.191437
openmp-perfmon,BaseStrainMapping apply,CPI,3.277229,1.173866,0.689137,0.819307
openmp-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],1.075692,1.075692,0.000000,0.268923
