Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.014872
seq-perfmon,BaseStrainMapping applyJ,call count,1486.000000
seq-perfmon,BaseDeformationMultiMapping apply,RDTSC Runtime [s],0.013875
seq-perfmon,BaseDeformationMultiMapping apply,call count,417.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,RDTSC Runtime [s],0.000038
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,call count,202.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.009741
seq-perfmon,BaseStrainMapping applyJT,call count,1583.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001253
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,RDTSC Runtime [s],0.004856
seq-perfmon,BaseDeformationMultiMapping applyDJT,call count,2964.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,RDTSC Runtime [s],0.036379
seq-perfmon,BaseDeformationMultiMapping applyJT vec,call count,3166.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,RDTSC Runtime [s],0.059848
seq-perfmon,BaseDeformationMultiMapping applyJ,call count,2974.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.012578
seq-perfmon,BaseStrainMapping applyDJT,call count,1482.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.035468
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.014872
seq-perfmon,BaseStrainMapping applyJ,call count,1486.000000
seq-perfmon,BaseDeformationMultiMapping apply,RDTSC Runtime [s],0.013875
seq-perfmon,BaseDeformationMultiMapping apply,call count,417.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,RDTSC Runtime [s],0.000038
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,call count,202.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.009741
seq-perfmon,BaseStrainMapping applyJT,call count,1583.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001253
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,RDTSC Runtime [s],0.004856
seq-perfmon,BaseDeformationMultiMapping applyDJT,call count,2964.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,RDTSC Runtime [s],0.036379
seq-perfmon,BaseDeformationMultiMapping applyJT vec,call count,3166.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,RDTSC Runtime [s],0.059848
seq-perfmon,BaseDeformationMultiMapping applyJ,call count,2974.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.012578
seq-perfmon,BaseStrainMapping applyDJT,call count,1482.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.035468
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.014872
seq-perfmon,BaseStrainMapping applyJ,call count,1486.000000
seq-perfmon,BaseDeformationMultiMapping apply,RDTSC Runtime [s],0.013875
seq-perfmon,BaseDeformationMultiMapping apply,call count,417.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,RDTSC Runtime [s],0.000038
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,call count,202.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.009741
seq-perfmon,BaseStrainMapping applyJT,call count,1583.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001253
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,RDTSC Runtime [s],0.004856
seq-perfmon,BaseDeformationMultiMapping applyDJT,call count,2964.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,RDTSC Runtime [s],0.036379
seq-perfmon,BaseDeformationMultiMapping applyJT vec,call count,3166.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,RDTSC Runtime [s],0.059848
seq-perfmon,BaseDeformationMultiMapping applyJ,call count,2974.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.012578
seq-perfmon,BaseStrainMapping applyDJT,call count,1482.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.035468
seq-perfmon,Simu,call count,1.000000
