Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.014854
seq-perfmon,BaseStrainMapping applyJ,call count,1486.000000
seq-perfmon,BaseDeformationMultiMapping apply,RDTSC Runtime [s],0.013924
seq-perfmon,BaseDeformationMultiMapping apply,call count,417.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,RDTSC Runtime [s],0.000038
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,call count,202.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.009767
seq-perfmon,BaseStrainMapping applyJT,call count,1583.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001251
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,RDTSC Runtime [s],0.004854
seq-perfmon,BaseDeformationMultiMapping applyDJT,call count,2964.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,RDTSC Runtime [s],0.036540
seq-perfmon,BaseDeformationMultiMapping applyJT vec,call count,3166.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,RDTSC Runtime [s],0.059778
seq-perfmon,BaseDeformationMultiMapping applyJ,call count,2974.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.012613
seq-perfmon,BaseStrainMapping applyDJT,call count,1482.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.051456
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.014854
seq-perfmon,BaseStrainMapping applyJ,call count,1486.000000
seq-perfmon,BaseDeformationMultiMapping apply,RDTSC Runtime [s],0.013924
seq-perfmon,BaseDeformationMultiMapping apply,call count,417.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,RDTSC Runtime [s],0.000038
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,call count,202.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.009767
seq-perfmon,BaseStrainMapping applyJT,call count,1583.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001251
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,RDTSC Runtime [s],0.004854
seq-perfmon,BaseDeformationMultiMapping applyDJT,call count,2964.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,RDTSC Runtime [s],0.036540
seq-perfmon,BaseDeformationMultiMapping applyJT vec,call count,3166.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,RDTSC Runtime [s],0.059778
seq-perfmon,BaseDeformationMultiMapping applyJ,call count,2974.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.012613
seq-perfmon,BaseStrainMapping applyDJT,call count,1482.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.051456
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.014854
seq-perfmon,BaseStrainMapping applyJ,call count,1486.000000
seq-perfmon,BaseDeformationMultiMapping apply,RDTSC Runtime [s],0.013924
seq-perfmon,BaseDeformationMultiMapping apply,call count,417.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,RDTSC Runtime [s],0.000038
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,call count,202.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.009767
seq-perfmon,BaseStrainMapping applyJT,call count,1583.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001251
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,RDTSC Runtime [s],0.004854
seq-perfmon,BaseDeformationMultiMapping applyDJT,call count,2964.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,RDTSC Runtime [s],0.036540
seq-perfmon,BaseDeformationMultiMapping applyJT vec,call count,3166.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,RDTSC Runtime [s],0.059778
seq-perfmon,BaseDeformationMultiMapping applyJ,call count,2974.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.012613
seq-perfmon,BaseStrainMapping applyDJT,call count,1482.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.051456
seq-perfmon,Simu,call count,1.000000
