Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.815062,0.233147,0.181509,0.203766
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.293145,0.073286,0.073286,0.073286
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.301576,0.076045,0.074331,0.075394
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11991.874274,2998.502836,2996.735245,2997.968568
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.030693,0.516475,0.502595,0.507673
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.109897,0.031791,0.025326,0.027474
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.027078,0.008984,0.005704,0.006769
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.977306,0.282604,0.225215,0.244327
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.037175,0.009294,0.009294,0.009294
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.056009,0.014116,0.013889,0.014002
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12015.770508,3007.829478,3001.239664,3003.942627
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.302332,1.095429,1.024693,1.075583
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.287994,0.091801,0.059734,0.071998
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.055621,0.018159,0.011098,0.013905
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.769577,0.198596,0.185796,0.192394
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.004004,0.001001,0.001001,0.001001
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002853,0.000728,0.000701,0.000713
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12008.926553,3006.074084,2999.853044,3002.231638
openmp-perfmon,BaseStrainMapping apply,CPI,3.061215,0.784014,0.746141,0.765304
openmp-perfmon,BaseStrainMapping apply,L2 request rate,0.178721,0.047531,0.042949,0.044680
openmp-perfmon,BaseStrainMapping apply,L2 miss rate,0.037195,0.009898,0.008720,0.009299
openmp-perfmon,BaseStrainMapping apply,L2 miss ratio,0.833394,0.221990,0.195707,0.208348
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000238,0.000060,0.000060,0.000060
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000825,0.000825,0.000000,0.000206
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3027.400834,3027.400834,0.000000,756.850209
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,5.997166,5.997166,0.000000,1.499292
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.190004,0.190004,0.000000,0.047501
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.015779,0.015779,0.000000,0.003945
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.083048,0.083048,0.000000,0.020762
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001223,0.000306,0.000306,0.000306
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.007140,0.007140,0.000000,0.001785
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3010.209607,3010.209607,0.000000,752.552402
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.834485,5.834485,0.000000,1.458621
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.196746,0.196746,0.000000,0.049187
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.016299,0.016299,0.000000,0.004075
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.082843,0.082843,0.000000,0.020711
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.001283,0.000321,0.000321,0.000321
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.006645,0.006645,0.000000,0.001661
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3015.678321,3015.678321,0.000000,753.919580
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.859936,5.859936,0.000000,1.464984
openmp-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.177039,0.177039,0.000000,0.044260
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.011223,0.011223,0.000000,0.002806
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.063396,0.063396,0.000000,0.015849
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.389203,0.097301,0.097301,0.097301
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.375069,0.103137,0.087785,0.093767
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11984.728135,2997.390364,2994.261467,2996.182034
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,3.162262,0.936110,0.510740,0.790565
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.411222,0.129505,0.068066,0.102806
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.112146,0.035146,0.018894,0.028036
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,1.094969,0.279705,0.266296,0.273742
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.080866,0.020217,0.020217,0.020217
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.061611,0.015791,0.015062,0.015403
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],12008.839490,3006.054642,2999.691331,3002.209873
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.339698,0.859393,0.805701,0.834924
openmp-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.196035,0.053507,0.045066,0.049009
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.030984,0.008129,0.007066,0.007746
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.632752,0.166283,0.151932,0.158188
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.038080,0.009520,0.009520,0.009520
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.035685,0.009250,0.008583,0.008921
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11986.489136,2997.322794,2996.116576,2996.622284
openmp-perfmon,BaseDeformationMapping apply,CPI,2.124749,0.535040,0.522041,0.531187
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.137590,0.038868,0.031977,0.034397
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.038668,0.012066,0.008555,0.009667
openmp-perfmon,BaseDeformationMapping apply,L2 miss ratio,1.118742,0.310427,0.267542,0.279685
openmp-perfmon,Simu,Runtime (RDTSC) [s],6.975748,1.743937,1.743937,1.743937
openmp-perfmon,Simu,Runtime unhalted [s],0.704125,0.704125,0.000000,0.176031
openmp-perfmon,Simu,Clock [MHz],2992.771848,2992.771848,0.000000,748.192962
openmp-perfmon,Simu,CPI,0.954492,0.954492,0.000000,0.238623
openmp-perfmon,Simu,L2 request rate,0.081205,0.081205,0.000000,0.020301
openmp-perfmon,Simu,L2 miss rate,0.022114,0.022114,0.000000,0.005529
openmp-perfmon,Simu,L2 miss ratio,0.272328,0.272328,0.000000,0.068082
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.075815,0.018954,0.018954,0.018954
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.065142,0.016772,0.015932,0.016286
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12009.853640,3006.192150,2998.289758,3002.463410
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.193175,0.824997,0.770914,0.798294
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.186835,0.052930,0.040284,0.046709
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.038190,0.010900,0.007312,0.009548
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.815062,0.233147,0.181509,0.203766
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.293145,0.073286,0.073286,0.073286
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.301576,0.076045,0.074331,0.075394
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11991.874274,2998.502836,2996.735245,2997.968568
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.030693,0.516475,0.502595,0.507673
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.109897,0.031791,0.025326,0.027474
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.027078,0.008984,0.005704,0.006769
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.977306,0.282604,0.225215,0.244327
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.037175,0.009294,0.009294,0.009294
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.056009,0.014116,0.013889,0.014002
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12015.770508,3007.829478,3001.239664,3003.942627
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.302332,1.095429,1.024693,1.075583
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.287994,0.091801,0.059734,0.071998
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.055621,0.018159,0.011098,0.013905
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.769577,0.198596,0.185796,0.192394
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.004004,0.001001,0.001001,0.001001
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002853,0.000728,0.000701,0.000713
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12008.926553,3006.074084,2999.853044,3002.231638
openmp-perfmon,BaseStrainMapping apply,CPI,3.061215,0.784014,0.746141,0.765304
openmp-perfmon,BaseStrainMapping apply,L2 request rate,0.178721,0.047531,0.042949,0.044680
openmp-perfmon,BaseStrainMapping apply,L2 miss rate,0.037195,0.009898,0.008720,0.009299
openmp-perfmon,BaseStrainMapping apply,L2 miss ratio,0.833394,0.221990,0.195707,0.208348
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000238,0.000060,0.000060,0.000060
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000825,0.000825,0.000000,0.000206
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3027.400834,3027.400834,0.000000,756.850209
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,5.997166,5.997166,0.000000,1.499292
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.190004,0.190004,0.000000,0.047501
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.015779,0.015779,0.000000,0.003945
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.083048,0.083048,0.000000,0.020762
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001223,0.000306,0.000306,0.000306
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.007140,0.007140,0.000000,0.001785
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3010.209607,3010.209607,0.000000,752.552402
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.834485,5.834485,0.000000,1.458621
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.196746,0.196746,0.000000,0.049187
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.016299,0.016299,0.000000,0.004075
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.082843,0.082843,0.000000,0.020711
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.001283,0.000321,0.000321,0.000321
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.006645,0.006645,0.000000,0.001661
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3015.678321,3015.678321,0.000000,753.919580
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.859936,5.859936,0.000000,1.464984
openmp-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.177039,0.177039,0.000000,0.044260
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.011223,0.011223,0.000000,0.002806
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.063396,0.063396,0.000000,0.015849
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.389203,0.097301,0.097301,0.097301
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.375069,0.103137,0.087785,0.093767
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11984.728135,2997.390364,2994.261467,2996.182034
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,3.162262,0.936110,0.510740,0.790565
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.411222,0.129505,0.068066,0.102806
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.112146,0.035146,0.018894,0.028036
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,1.094969,0.279705,0.266296,0.273742
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.080866,0.020217,0.020217,0.020217
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.061611,0.015791,0.015062,0.015403
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],12008.839490,3006.054642,2999.691331,3002.209873
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.339698,0.859393,0.805701,0.834924
openmp-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.196035,0.053507,0.045066,0.049009
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.030984,0.008129,0.007066,0.007746
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.632752,0.166283,0.151932,0.158188
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.038080,0.009520,0.009520,0.009520
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.035685,0.009250,0.008583,0.008921
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11986.489136,2997.322794,2996.116576,2996.622284
openmp-perfmon,BaseDeformationMapping apply,CPI,2.124749,0.535040,0.522041,0.531187
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.137590,0.038868,0.031977,0.034397
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.038668,0.012066,0.008555,0.009667
openmp-perfmon,BaseDeformationMapping apply,L2 miss ratio,1.118742,0.310427,0.267542,0.279685
openmp-perfmon,Simu,Runtime (RDTSC) [s],6.975748,1.743937,1.743937,1.743937
openmp-perfmon,Simu,Runtime unhalted [s],0.704125,0.704125,0.000000,0.176031
openmp-perfmon,Simu,Clock [MHz],2992.771848,2992.771848,0.000000,748.192962
openmp-perfmon,Simu,CPI,0.954492,0.954492,0.000000,0.238623
openmp-perfmon,Simu,L2 request rate,0.081205,0.081205,0.000000,0.020301
openmp-perfmon,Simu,L2 miss rate,0.022114,0.022114,0.000000,0.005529
openmp-perfmon,Simu,L2 miss ratio,0.272328,0.272328,0.000000,0.068082
