Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJT,L2_RQSTS_MISS,1355040.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,10878660.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,5137291.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,5126940.000000
seq-perfmon,BaseStrainMapping apply,L2_TRANS_ALL_REQUESTS,316709.000000
seq-perfmon,BaseStrainMapping apply,L2_RQSTS_MISS,75529.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,1278373.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,3952750.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,3933030.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_TRANS_ALL_REQUESTS,126220.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_RQSTS_MISS,7684.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,9360436.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,28111720.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,28027320.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_TRANS_ALL_REQUESTS,871340.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_RQSTS_MISS,30985.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,8527259.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,25990890.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,25821840.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_TRANS_ALL_REQUESTS,848681.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_RQSTS_MISS,47225.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,423723800.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,231491400.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,231341700.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_TRANS_ALL_REQUESTS,29223100.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_RQSTS_MISS,4507279.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,169592100.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,81064520.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,80990910.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_TRANS_ALL_REQUESTS,6513503.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_RQSTS_MISS,1298978.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,91192010.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,53610780.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,53583360.000000
seq-perfmon,BaseDeformationMapping apply,L2_TRANS_ALL_REQUESTS,4377456.000000
seq-perfmon,BaseDeformationMapping apply,L2_RQSTS_MISS,1490323.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,2731684000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,2090419000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,2090347000.000000
seq-perfmon,Simu,L2_TRANS_ALL_REQUESTS,159223600.000000
seq-perfmon,Simu,L2_RQSTS_MISS,38082760.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,192048700.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,91137200.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,90996450.000000
seq-perfmon,BaseStrainMapping applyJ,L2_TRANS_ALL_REQUESTS,5639845.000000
seq-perfmon,BaseStrainMapping applyJ,L2_RQSTS_MISS,1206857.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,681425200.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,339576900.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,339350800.000000
seq-perfmon,BaseDeformationMapping applyJ,L2_TRANS_ALL_REQUESTS,21235200.000000
seq-perfmon,BaseDeformationMapping applyJ,L2_RQSTS_MISS,6379876.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,121564200.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,69692090.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,69575430.000000
seq-perfmon,BaseStrainMapping applyJT,L2_TRANS_ALL_REQUESTS,5761726.000000
seq-perfmon,BaseStrainMapping applyJT,L2_RQSTS_MISS,1355040.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,10878660.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,5137291.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,5126940.000000
seq-perfmon,BaseStrainMapping apply,L2_TRANS_ALL_REQUESTS,316709.000000
seq-perfmon,BaseStrainMapping apply,L2_RQSTS_MISS,75529.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,1278373.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,3952750.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,3933030.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_TRANS_ALL_REQUESTS,126220.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_RQSTS_MISS,7684.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,9360436.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,28111720.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,28027320.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_TRANS_ALL_REQUESTS,871340.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L2_RQSTS_MISS,30985.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,8527259.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,25990890.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,25821840.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_TRANS_ALL_REQUESTS,848681.000000
seq-perfmon,BaseDeformationMapping applyJ else,L2_RQSTS_MISS,47225.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,423723800.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,231491400.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,231341700.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_TRANS_ALL_REQUESTS,29223100.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_RQSTS_MISS,4507279.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,169592100.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,81064520.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,80990910.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_TRANS_ALL_REQUESTS,6513503.000000
seq-perfmon,BaseStrainMapping applyDJT,L2_RQSTS_MISS,1298978.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,91192010.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,53610780.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,53583360.000000
seq-perfmon,BaseDeformationMapping apply,L2_TRANS_ALL_REQUESTS,4377456.000000
seq-perfmon,BaseDeformationMapping apply,L2_RQSTS_MISS,1490323.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,2731684000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,2090419000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,2090347000.000000
seq-perfmon,Simu,L2_TRANS_ALL_REQUESTS,159223600.000000
seq-perfmon,Simu,L2_RQSTS_MISS,38082760.000000
