Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,5178396.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,5172690.000000
seq-perfmon,BaseStrainMapping apply,L1D_REPLACEMENT,88297.000000
seq-perfmon,BaseStrainMapping apply,L1D_M_EVICT,33435.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,1278387.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,4016872.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,4010640.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_REPLACEMENT,40380.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_M_EVICT,11311.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,9364636.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,28207120.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,28128510.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_REPLACEMENT,258771.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_M_EVICT,59783.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,8531469.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,25776160.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,25718610.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_REPLACEMENT,247672.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_M_EVICT,75253.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,423914200.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,231656400.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,231509600.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_REPLACEMENT,10096170.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_M_EVICT,860128.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,169671900.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,81156130.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,81084660.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_REPLACEMENT,2157407.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_M_EVICT,640183.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,91192020.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,53573300.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,53529150.000000
seq-perfmon,BaseDeformationMapping apply,L1D_REPLACEMENT,1236912.000000
seq-perfmon,BaseDeformationMapping apply,L1D_M_EVICT,169391.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,2732857000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,2097523000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,2097512000.000000
seq-perfmon,Simu,L1D_REPLACEMENT,44242720.000000
seq-perfmon,Simu,L1D_M_EVICT,9564048.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,192138900.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,91491060.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,91515060.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_REPLACEMENT,1808996.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_M_EVICT,557898.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,681736100.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,337037000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,336988200.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_REPLACEMENT,6304025.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_M_EVICT,1305342.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,121618800.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,70100960.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,69964380.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_REPLACEMENT,1867667.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_M_EVICT,576114.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,10878650.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,5178396.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,5172690.000000
seq-perfmon,BaseStrainMapping apply,L1D_REPLACEMENT,88297.000000
seq-perfmon,BaseStrainMapping apply,L1D_M_EVICT,33435.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,1278387.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,4016872.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,4010640.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_REPLACEMENT,40380.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_M_EVICT,11311.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,9364636.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,28207120.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,28128510.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_REPLACEMENT,258771.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_M_EVICT,59783.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,8531469.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,25776160.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,25718610.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_REPLACEMENT,247672.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_M_EVICT,75253.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,423914200.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,231656400.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,231509600.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_REPLACEMENT,10096170.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_M_EVICT,860128.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,169671900.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,81156130.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,81084660.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_REPLACEMENT,2157407.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_M_EVICT,640183.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,91192020.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,53573300.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,53529150.000000
seq-perfmon,BaseDeformationMapping apply,L1D_REPLACEMENT,1236912.000000
seq-perfmon,BaseDeformationMapping apply,L1D_M_EVICT,169391.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,2732857000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,2097523000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,2097512000.000000
seq-perfmon,Simu,L1D_REPLACEMENT,44242720.000000
seq-perfmon,Simu,L1D_M_EVICT,9564048.000000
