Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021338
seq-perfmon,BaseStrainMapping applyJ,call count,2135.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.093276
seq-perfmon,BaseDeformationMapping applyJ,call count,4377.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013617
seq-perfmon,BaseStrainMapping applyJT,call count,2232.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001265
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000053
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000204
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2232.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000195
seq-perfmon,BaseDeformationMapping applyJ else,call count,2030.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058333
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4464.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.018056
seq-perfmon,BaseStrainMapping applyDJT,call count,2131.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015492
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.431097
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021338
seq-perfmon,BaseStrainMapping applyJ,call count,2135.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.093276
seq-perfmon,BaseDeformationMapping applyJ,call count,4377.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013617
seq-perfmon,BaseStrainMapping applyJT,call count,2232.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001265
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000053
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000204
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2232.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000195
seq-perfmon,BaseDeformationMapping applyJ else,call count,2030.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058333
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4464.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.018056
seq-perfmon,BaseStrainMapping applyDJT,call count,2131.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015492
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.431097
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021338
seq-perfmon,BaseStrainMapping applyJ,call count,2135.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.093276
seq-perfmon,BaseDeformationMapping applyJ,call count,4377.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013617
seq-perfmon,BaseStrainMapping applyJT,call count,2232.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001265
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000053
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000204
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2232.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000195
seq-perfmon,BaseDeformationMapping applyJ else,call count,2030.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058333
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4464.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.018056
seq-perfmon,BaseStrainMapping applyDJT,call count,2131.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015492
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.431097
seq-perfmon,Simu,call count,1.000000
