Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000396,0.000396,0.000000,0.000099
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3024.299364,3024.299364,0.000000,756.074841
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,6.222960,6.222960,0.000000,1.555740
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.450331,0.112583,0.112583,0.112583
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.038998,0.016733,0.007283,0.009750
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12013.210856,3008.718372,2995.640609,3003.302714
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.764661,1.756832,0.987104,1.191165
openmp-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],1.707685,1.707685,0.000000,0.426921
openmp-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],0.800975,0.800975,0.000000,0.200244
openmp-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],2.508660,2.508660,0.000000,0.627165
openmp-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000282,0.000282,0.000000,0.000071
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.030975,0.007744,0.007744,0.007744
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.003250,0.001263,0.000646,0.000813
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12003.402962,3003.634342,2997.767609,3000.850740
openmp-perfmon,BaseStrainMapping apply,CPI,3.353751,1.196077,0.706574,0.838438
openmp-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],2.727402,2.727402,0.000000,0.681850
openmp-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],2.107538,2.107538,0.000000,0.526884
openmp-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],4.834940,4.834940,0.000000,1.208735
openmp-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000037,0.000037,0.000000,0.000009
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Runtime (RDTSC) [s],0.887046,0.221762,0.221762,0.221762
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Runtime unhalted [s],0.018917,0.018917,0.000000,0.004729
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Clock [MHz],2994.232691,2994.232691,0.000000,748.558173
openmp-perfmon,BaseDeformationMultiMapping applyDJT,CPI,1.543519,1.543519,0.000000,0.385880
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Runtime (RDTSC) [s],1.017700,0.254425,0.254425,0.254425
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Runtime unhalted [s],0.139195,0.048345,0.011713,0.034799
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Clock [MHz],11996.746942,3008.734306,2994.473442,2999.186735
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,CPI,11.451885,4.554807,1.154211,2.862971
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Memory Read BW [MBytes/s],1.569656,1.569656,0.000000,0.392414
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Memory Write BW [MBytes/s],0.785080,0.785080,0.000000,0.196270
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Memory BW [MBytes/s],2.354736,2.354736,0.000000,0.588684
openmp-perfmon,BaseDeformationMultiMapping applyJT vec,Memory data volume [GBytes],0.000599,0.000599,0.000000,0.000150
openmp-perfmon,BaseDeformationMultiMapping applyJ,Runtime (RDTSC) [s],0.902615,0.225654,0.225654,0.225654
openmp-perfmon,BaseDeformationMultiMapping applyJ,Runtime unhalted [s],0.118083,0.042809,0.024747,0.029521
openmp-perfmon,BaseDeformationMultiMapping applyJ,Clock [MHz],11997.265590,3002.182752,2994.924568,2999.316397
openmp-perfmon,BaseDeformationMultiMapping applyJ,CPI,2.998231,1.009615,0.650780,0.749558
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory Read BW [MBytes/s],1.496381,1.496381,0.000000,0.374095
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory Write BW [MBytes/s],0.647789,0.647789,0.000000,0.161947
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory BW [MBytes/s],2.144170,2.144170,0.000000,0.536043
openmp-perfmon,BaseDeformationMultiMapping applyJ,Memory data volume [GBytes],0.000484,0.000484,0.000000,0.000121
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.434923,0.108731,0.108731,0.108731
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.040512,0.016777,0.007796,0.010128
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],12000.084484,3004.835693,2995.135674,3000.021121
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.673814,1.367964,0.757820,0.918453
openmp-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],1.062440,1.062440,0.000000,0.265610
openmp-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],0.582135,0.582135,0.000000,0.145534
openmp-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],1.644575,1.644575,0.000000,0.411144
openmp-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000179,0.000179,0.000000,0.000045
openmp-perfmon,Simu,Runtime (RDTSC) [s],9.909500,2.477375,2.477375,2.477375
openmp-perfmon,Simu,Runtime unhalted [s],0.414712,0.414712,0.000000,0.103678
openmp-perfmon,Simu,Clock [MHz],2992.762038,2992.762038,0.000000,748.190510
openmp-perfmon,Simu,CPI,1.259096,1.259096,0.000000,0.314774
openmp-perfmon,Simu,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,Simu,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,Simu,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,Simu,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.432341,0.108085,0.108085,0.108085
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.042695,0.017346,0.008377,0.010674
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12002.647224,3006.585409,2994.951793,3000.661806
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.512632,1.294603,0.735949,0.878158
openmp-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],0.676207,0.676207,0.000000,0.169052
openmp-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],0.254022,0.254022,0.000000,0.063505
openmp-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],0.930228,0.930228,0.000000,0.232557
openmp-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000101,0.000101,0.000000,0.000025
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.132435,0.033109,0.033109,0.033109
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.022434,0.007501,0.004794,0.005609
openmp-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],11990.514854,3000.019761,2994.503378,2997.628713
openmp-perfmon,BaseDeformationMultiMapping apply,CPI,2.923340,0.910533,0.657046,0.730835
openmp-perfmon,BaseDeformationMultiMapping apply,Memory Read BW [MBytes/s],1.948487,1.948487,0.000000,0.487122
openmp-perfmon,BaseDeformationMultiMapping apply,Memory Write BW [MBytes/s],0.885325,0.885325,0.000000,0.221331
openmp-perfmon,BaseDeformationMultiMapping apply,Memory BW [MBytes/s],2.833812,2.833812,0.000000,0.708453
openmp-perfmon,BaseDeformationMultiMapping apply,Memory data volume [GBytes],0.000094,0.000094,0.000000,0.000023
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000197,0.000049,0.000049,0.000049
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000396,0.000396,0.000000,0.000099
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3024.299364,3024.299364,0.000000,756.074841
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,6.222960,6.222960,0.000000,1.555740
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.450331,0.112583,0.112583,0.112583
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.038998,0.016733,0.007283,0.009750
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12013.210856,3008.718372,2995.640609,3003.302714
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.764661,1.756832,0.987104,1.191165
openmp-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],1.707685,1.707685,0.000000,0.426921
openmp-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],0.800975,0.800975,0.000000,0.200244
openmp-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],2.508660,2.508660,0.000000,0.627165
openmp-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000282,0.000282,0.000000,0.000071
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.030975,0.007744,0.007744,0.007744
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.003250,0.001263,0.000646,0.000813
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12003.402962,3003.634342,2997.767609,3000.850740
openmp-perfmon,BaseStrainMapping apply,CPI,3.353751,1.196077,0.706574,0.838438
openmp-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],2.727402,2.727402,0.000000,0.681850
openmp-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],2.107538,2.107538,0.000000,0.526884
openmp-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],4.834940,4.834940,0.000000,1.208735
openmp-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000037,0.000037,0.000000,0.000009
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Runtime (RDTSC) [s],0.887046,0.221762,0.221762,0.221762
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Runtime unhalted [s],0.018917,0.018917,0.000000,0.004729
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Clock [MHz],2994.232691,2994.232691,0.000000,748.558173
openmp-perfmon,BaseDeformationMultiMapping applyDJT,CPI,1.543519,1.543519,0.000000,0.385880
