Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.121065,0.121065,0.000000,0.030266
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.013009,0.013009,0.000000,0.003252
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.107459,0.107459,0.000000,0.026865
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.426101,0.106525,0.106525,0.106525
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.405167,0.103093,0.098122,0.101292
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11976.992209,2994.487989,2993.961068,2994.248052
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.278262,0.572442,0.567866,0.569566
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.521419,0.132025,0.129016,0.130355
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.156867,0.040169,0.038290,0.039217
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,1.203337,0.305470,0.296788,0.300834
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.084437,0.021109,0.021109,0.021109
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.083683,0.021117,0.020759,0.020921
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11975.983401,2994.240464,2993.759751,2993.995850
openmp-perfmon,BaseDeformationMapping apply,CPI,1.911091,0.481333,0.474393,0.477773
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.163831,0.041746,0.040290,0.040958
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.053500,0.013779,0.013121,0.013375
openmp-perfmon,BaseDeformationMapping apply,L2 miss ratio,1.306152,0.330061,0.325202,0.326538
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.564452,0.141113,0.141113,0.141113
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.579247,0.145395,0.144284,0.144812
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11975.496469,2993.983911,2993.671898,2993.874117
openmp-perfmon,BaseDeformationMapping applyJ,CPI,1.809613,0.454455,0.450126,0.452403
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.208058,0.052437,0.051618,0.052014
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.073189,0.018439,0.018061,0.018297
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,1.407174,0.354467,0.344441,0.351794
openmp-perfmon,Simu,Runtime (RDTSC) [s],4.681436,1.170359,1.170359,1.170359
openmp-perfmon,Simu,Runtime unhalted [s],0.782696,0.782696,0.000000,0.195674
openmp-perfmon,Simu,Clock [MHz],2992.661652,2992.661652,0.000000,748.165413
openmp-perfmon,Simu,CPI,0.596979,0.596979,0.000000,0.149245
openmp-perfmon,Simu,L2 request rate,0.071944,0.071944,0.000000,0.017986
openmp-perfmon,Simu,L2 miss rate,0.022788,0.022788,0.000000,0.005697
openmp-perfmon,Simu,L2 miss ratio,0.316751,0.316751,0.000000,0.079188
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.137439,0.034360,0.034360,0.034360
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.143766,0.036034,0.035757,0.035941
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11979.681390,2995.394577,2994.496254,2994.920348
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.539233,0.386110,0.381846,0.384808
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.129916,0.039351,0.030173,0.032479
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.035228,0.008931,0.008697,0.008807
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,1.098065,0.292288,0.226946,0.274516
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.096702,0.024176,0.024176,0.024176
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.104785,0.026310,0.025979,0.026196
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11981.802824,2996.301808,2995.147200,2995.450706
openmp-perfmon,BaseStrainMapping applyJT,CPI,1.789870,0.449916,0.442166,0.447468
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.213993,0.056356,0.052122,0.053498
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.059741,0.015550,0.014493,0.014935
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,1.116966,0.284090,0.274565,0.279241
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000154,0.000039,0.000039,0.000039
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000588,0.000588,0.000000,0.000147
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3028.412620,3028.412620,0.000000,757.103155
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.500213,3.500213,0.000000,0.875053
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.121065,0.121065,0.000000,0.030266
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.013009,0.013009,0.000000,0.003252
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.107459,0.107459,0.000000,0.026865
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.426101,0.106525,0.106525,0.106525
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.405167,0.103093,0.098122,0.101292
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11976.992209,2994.487989,2993.961068,2994.248052
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.278262,0.572442,0.567866,0.569566
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.521419,0.132025,0.129016,0.130355
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.156867,0.040169,0.038290,0.039217
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,1.203337,0.305470,0.296788,0.300834
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.084437,0.021109,0.021109,0.021109
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.083683,0.021117,0.020759,0.020921
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11975.983401,2994.240464,2993.759751,2993.995850
openmp-perfmon,BaseDeformationMapping apply,CPI,1.911091,0.481333,0.474393,0.477773
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.163831,0.041746,0.040290,0.040958
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.053500,0.013779,0.013121,0.013375
openmp-perfmon,BaseDeformationMapping apply,L2 miss ratio,1.306152,0.330061,0.325202,0.326538
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.564452,0.141113,0.141113,0.141113
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.579247,0.145395,0.144284,0.144812
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11975.496469,2993.983911,2993.671898,2993.874117
openmp-perfmon,BaseDeformationMapping applyJ,CPI,1.809613,0.454455,0.450126,0.452403
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.208058,0.052437,0.051618,0.052014
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.073189,0.018439,0.018061,0.018297
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,1.407174,0.354467,0.344441,0.351794
openmp-perfmon,Simu,Runtime (RDTSC) [s],4.681436,1.170359,1.170359,1.170359
openmp-perfmon,Simu,Runtime unhalted [s],0.782696,0.782696,0.000000,0.195674
openmp-perfmon,Simu,Clock [MHz],2992.661652,2992.661652,0.000000,748.165413
openmp-perfmon,Simu,CPI,0.596979,0.596979,0.000000,0.149245
openmp-perfmon,Simu,L2 request rate,0.071944,0.071944,0.000000,0.017986
openmp-perfmon,Simu,L2 miss rate,0.022788,0.022788,0.000000,0.005697
openmp-perfmon,Simu,L2 miss ratio,0.316751,0.316751,0.000000,0.079188
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.137439,0.034360,0.034360,0.034360
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.143766,0.036034,0.035757,0.035941
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11979.681390,2995.394577,2994.496254,2994.920348
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.539233,0.386110,0.381846,0.384808
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.129916,0.039351,0.030173,0.032479
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.035228,0.008931,0.008697,0.008807
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,1.098065,0.292288,0.226946,0.274516
