Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.080672
seq-perfmon,BaseStrainMapping applyJT,call count,1325.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000041
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.358164
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2650.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075918
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.520169
seq-perfmon,BaseDeformationMapping applyJ,call count,2456.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.009447
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.121765
seq-perfmon,BaseStrainMapping applyJ,call count,1228.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.080672
seq-perfmon,BaseStrainMapping applyJT,call count,1325.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000041
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.358164
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2650.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075918
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.520169
seq-perfmon,BaseDeformationMapping applyJ,call count,2456.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.009447
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.121765
seq-perfmon,BaseStrainMapping applyJ,call count,1228.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.080672
seq-perfmon,BaseStrainMapping applyJT,call count,1325.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000041
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.358164
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2650.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075918
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.520169
seq-perfmon,BaseDeformationMapping applyJ,call count,2456.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.009447
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.121765
seq-perfmon,BaseStrainMapping applyJ,call count,1228.000000
