Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.082030
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.378640
seq-perfmon,BaseDeformationMapping apply,CPI,0.465530
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],118.928414
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],57.690243
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],176.618657
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.013429
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.530899
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.567310
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.629131
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.442179
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],22.069747
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],8.223218
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],30.292965
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.016082
seq-perfmon,Simu,Runtime (RDTSC) [s],3.089501
seq-perfmon,Simu,Runtime unhalted [s],1.885025
seq-perfmon,Simu,Clock [MHz],2992.868178
seq-perfmon,Simu,CPI,0.534706
seq-perfmon,Simu,Memory Read BW [MBytes/s],12.603552
seq-perfmon,Simu,Memory Write BW [MBytes/s],3.912585
seq-perfmon,Simu,Memory BW [MBytes/s],16.516138
seq-perfmon,Simu,Memory data volume [GBytes],0.051027
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.124304
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.142472
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2994.060129
seq-perfmon,BaseStrainMapping applyJ,CPI,0.379598
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],6.289613
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],2.354486
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],8.644098
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.001074
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.082242
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.101671
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2994.352161
seq-perfmon,BaseStrainMapping applyJT,CPI,0.426734
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],4.217000
seq-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],1.434978
seq-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],5.651978
seq-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000465
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000038
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.002863
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3002.231494
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.499200
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],2284.284068
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],917.060564
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],3201.344632
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000122
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.364838
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.403367
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.862264
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.572945
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],6.852963
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],2.292390
seq-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],9.145353
seq-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.003337
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.076033
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.082030
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.378640
seq-perfmon,BaseDeformationMapping apply,CPI,0.465530
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],118.928414
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],57.690243
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],176.618657
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.013429
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.530899
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.567310
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.629131
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.442179
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],22.069747
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],8.223218
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],30.292965
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.016082
seq-perfmon,Simu,Runtime (RDTSC) [s],3.089501
seq-perfmon,Simu,Runtime unhalted [s],1.885025
seq-perfmon,Simu,Clock [MHz],2992.868178
seq-perfmon,Simu,CPI,0.534706
seq-perfmon,Simu,Memory Read BW [MBytes/s],12.603552
seq-perfmon,Simu,Memory Write BW [MBytes/s],3.912585
seq-perfmon,Simu,Memory BW [MBytes/s],16.516138
seq-perfmon,Simu,Memory data volume [GBytes],0.051027
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.124304
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.142472
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2994.060129
seq-perfmon,BaseStrainMapping applyJ,CPI,0.379598
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],6.289613
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],2.354486
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],8.644098
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.001074
