Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],885.063521
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],916.286929
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],1801.350450
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000096
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000205
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.031534
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3003.397295
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.510658
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],458.031132
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],249.466172
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],707.497303
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000145
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000207
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.029053
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3007.624440
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.555782
seq-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],412.663296
seq-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],197.065257
seq-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],609.728553
seq-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000126
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.057960
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.121142
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2996.595090
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.792160
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],3.762052
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],1.959977
seq-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],5.722029
seq-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.000332
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.018074
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.047862
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2997.617765
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.770680
seq-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],12.559726
seq-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],7.283720
seq-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],19.843446
seq-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000359
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015577
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.023170
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2995.254399
seq-perfmon,BaseDeformationMapping apply,CPI,0.727467
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],6.635258
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],3.393637
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],10.028894
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.000156
seq-perfmon,Simu,Runtime (RDTSC) [s],3.957217
seq-perfmon,Simu,Runtime unhalted [s],1.107475
seq-perfmon,Simu,Clock [MHz],2993.056020
seq-perfmon,Simu,CPI,1.088730
seq-perfmon,Simu,Memory Read BW [MBytes/s],0.674721
seq-perfmon,Simu,Memory Write BW [MBytes/s],0.368534
seq-perfmon,Simu,Memory BW [MBytes/s],1.043254
seq-perfmon,Simu,Memory data volume [GBytes],0.004128
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.021353
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.052045
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],3000.732245
seq-perfmon,BaseStrainMapping applyJ,CPI,0.747806
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],10.502397
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],6.339204
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],16.841600
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000360
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.092425
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.155807
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2997.483150
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.653022
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],4.487107
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],2.691572
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],7.178679
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.000663
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.013552
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.045204
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],3001.547384
seq-perfmon,BaseStrainMapping applyJT,CPI,0.974803
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],7.768801
seq-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],3.806477
seq-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],11.575278
seq-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000157
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001265
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002753
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2994.131227
seq-perfmon,BaseStrainMapping apply,CPI,0.703658
seq-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],15.130311
seq-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],8.147090
seq-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],23.277401
seq-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000029
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000053
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.004339
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3002.863294
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.535239
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],885.063521
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],916.286929
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],1801.350450
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000096
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000205
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.031534
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3003.397295
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.510658
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],458.031132
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],249.466172
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],707.497303
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000145
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000207
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.029053
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3007.624440
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.555782
seq-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],412.663296
seq-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],197.065257
seq-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],609.728553
seq-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000126
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.057960
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.121142
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2996.595090
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.792160
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],3.762052
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],1.959977
seq-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],5.722029
seq-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.000332
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.018074
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.047862
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2997.617765
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.770680
seq-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],12.559726
seq-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],7.283720
seq-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],19.843446
seq-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000359
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015577
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.023170
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2995.254399
seq-perfmon,BaseDeformationMapping apply,CPI,0.727467
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],6.635258
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],3.393637
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],10.028894
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.000156
seq-perfmon,Simu,Runtime (RDTSC) [s],3.957217
seq-perfmon,Simu,Runtime unhalted [s],1.107475
seq-perfmon,Simu,Clock [MHz],2993.056020
seq-perfmon,Simu,CPI,1.088730
seq-perfmon,Simu,Memory Read BW [MBytes/s],0.674721
seq-perfmon,Simu,Memory Write BW [MBytes/s],0.368534
seq-perfmon,Simu,Memory BW [MBytes/s],1.043254
seq-perfmon,Simu,Memory data volume [GBytes],0.004128
