Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000216
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.008671
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2999.028211
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.043348
seq-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.228396
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.058357
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.077809
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2994.027499
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.549567
seq-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,3.216270
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.018029
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.027276
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2992.737450
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.481340
seq-perfmon,BaseStrainMapping applyDJT,Load to Store ratio,1.910123
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015480
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.017909
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2994.012748
seq-perfmon,BaseDeformationMapping apply,CPI,0.587741
seq-perfmon,BaseDeformationMapping apply,Load to Store ratio,3.084921
seq-perfmon,Simu,Runtime (RDTSC) [s],1.434587
seq-perfmon,Simu,Runtime unhalted [s],0.702050
seq-perfmon,Simu,Clock [MHz],2992.768384
seq-perfmon,Simu,CPI,0.769154
seq-perfmon,Simu,Load to Store ratio,1.777872
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.021561
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.030790
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2995.196971
seq-perfmon,BaseStrainMapping applyJ,CPI,0.479814
seq-perfmon,BaseStrainMapping applyJ,Load to Store ratio,1.422904
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.093192
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.112443
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.895781
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.493846
seq-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,1.772733
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.013655
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.023388
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2995.620844
seq-perfmon,BaseStrainMapping applyJT,CPI,0.575782
seq-perfmon,BaseStrainMapping applyJT,Load to Store ratio,2.110435
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001272
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001731
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2997.963078
seq-perfmon,BaseStrainMapping apply,CPI,0.476319
seq-perfmon,BaseStrainMapping apply,Load to Store ratio,1.354211
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000055
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001350
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3005.520639
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.160177
seq-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.247049
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000205
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.009604
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2998.953204
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.070494
seq-perfmon,BaseDeformationMapping applyJT vec else,Load to Store ratio,2.217189
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000216
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.008671
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2999.028211
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.043348
seq-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.228396
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.058357
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.077809
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2994.027499
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.549567
seq-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,3.216270
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.018029
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.027276
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2992.737450
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.481340
seq-perfmon,BaseStrainMapping applyDJT,Load to Store ratio,1.910123
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015480
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.017909
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2994.012748
seq-perfmon,BaseDeformationMapping apply,CPI,0.587741
seq-perfmon,BaseDeformationMapping apply,Load to Store ratio,3.084921
seq-perfmon,Simu,Runtime (RDTSC) [s],1.434587
seq-perfmon,Simu,Runtime unhalted [s],0.702050
seq-perfmon,Simu,Clock [MHz],2992.768384
seq-perfmon,Simu,CPI,0.769154
seq-perfmon,Simu,Load to Store ratio,1.777872
