Config,Expe,Event,core 0
seq-perfmon,BaseDeformationMultiMapping apply,CAS_COUNT_RD,301.000000
seq-perfmon,BaseDeformationMultiMapping apply,CAS_COUNT_WR,139.000000
seq-perfmon,BaseDeformationMultiMapping apply,CAS_COUNT_RD,267.000000
seq-perfmon,BaseDeformationMultiMapping apply,CAS_COUNT_WR,134.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,INSTR_RETIRED_ANY,2451516.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPU_CLK_UNHALTED_CORE,8765877.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPU_CLK_UNHALTED_REF,8743440.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_RD,63.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_WR,17.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_RD,48.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_WR,19.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_RD,48.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_WR,26.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_RD,43.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CAS_COUNT_WR,26.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,98836690.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,96909080.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,96728340.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,625.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,387.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,395.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,245.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,345.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,214.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,320.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,206.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,11737670.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,8288252.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,8275560.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,65.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,21.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,50.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,28.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,57.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,28.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,43.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,18.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,INSTR_RETIRED_ANY,58799810.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CPU_CLK_UNHALTED_CORE,139487700.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CPU_CLK_UNHALTED_REF,139134800.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_RD,849.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_WR,356.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_RD,691.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_WR,343.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_RD,729.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_WR,317.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_RD,659.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CAS_COUNT_WR,281.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,INSTR_RETIRED_ANY,269667400.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CPU_CLK_UNHALTED_CORE,244689700.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CPU_CLK_UNHALTED_REF,244312700.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_RD,682.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_WR,375.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_RD,921.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_WR,653.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_RD,1526.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_WR,1003.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_RD,1902.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CAS_COUNT_WR,1310.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,INSTR_RETIRED_ANY,476952600.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CPU_CLK_UNHALTED_CORE,305718000.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CPU_CLK_UNHALTED_REF,305500200.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_RD,1624.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_WR,888.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_RD,1485.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_WR,844.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_RD,1532.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_WR,744.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_RD,1247.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CAS_COUNT_WR,675.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,129814200.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,100367900.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,100207600.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_RD,303.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_WR,133.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_RD,316.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_WR,210.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_RD,533.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_WR,328.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_RD,519.000000
seq-perfmon,BaseStrainMapping applyDJT,CAS_COUNT_WR,292.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,2167269000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,2410036000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,2409962000.000000
seq-perfmon,Simu,CAS_COUNT_RD,8775.000000
seq-perfmon,Simu,CAS_COUNT_WR,4453.000000
seq-perfmon,Simu,CAS_COUNT_RD,8651.000000
seq-perfmon,Simu,CAS_COUNT_WR,4463.000000
seq-perfmon,Simu,CAS_COUNT_RD,9729.000000
seq-perfmon,Simu,CAS_COUNT_WR,4904.000000
seq-perfmon,Simu,CAS_COUNT_RD,9065.000000
seq-perfmon,Simu,CAS_COUNT_WR,4567.000000
