Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.799157,0.451495,0.447645,0.449789
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.135219,0.038837,0.031546,0.033805
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.032327,0.008853,0.007590,0.008082
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.958406,0.247638,0.227938,0.239602
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.502959,0.125740,0.125740,0.125740
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.540117,0.136062,0.133835,0.135029
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11985.679734,2997.757318,2995.414152,2996.419933
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.294292,0.578090,0.570167,0.573573
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.289798,0.073422,0.070806,0.072449
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.097549,0.024842,0.023760,0.024387
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,1.346494,0.342912,0.329922,0.336623
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.134560,0.033640,0.033640,0.033640
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.158362,0.040395,0.038000,0.039591
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11995.196830,3001.427405,2996.708710,2998.799207
openmp-perfmon,BaseStrainMapping applyJT,CPI,2.236770,0.566946,0.542223,0.559192
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.224190,0.067003,0.050843,0.056047
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.054272,0.015877,0.012011,0.013568
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.969414,0.248989,0.236239,0.242354
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.008193,0.002048,0.002048,0.002048
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.006712,0.001713,0.001661,0.001678
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],11987.910248,3000.193335,2995.576930,2996.977562
openmp-perfmon,BaseStrainMapping apply,CPI,1.779564,0.453500,0.440878,0.444891
openmp-perfmon,BaseStrainMapping apply,L2 request rate,0.127334,0.034913,0.029904,0.031833
openmp-perfmon,BaseStrainMapping apply,L2 miss rate,0.032346,0.008463,0.007804,0.008086
openmp-perfmon,BaseStrainMapping apply,L2 miss ratio,1.018982,0.265542,0.231182,0.254745
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000454,0.000113,0.000113,0.000113
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001639,0.001639,0.000000,0.000410
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3018.608899,3018.608899,0.000000,754.652225
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,5.958708,5.958708,0.000000,1.489677
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.199345,0.199345,0.000000,0.049836
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.016684,0.016684,0.000000,0.004171
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.083695,0.083695,0.000000,0.020924
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001625,0.000406,0.000406,0.000406
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.010155,0.010155,0.000000,0.002539
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3014.593920,3014.593920,0.000000,753.648480
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.850084,5.850084,0.000000,1.462521
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.185253,0.185253,0.000000,0.046313
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.010397,0.010397,0.000000,0.002599
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.056125,0.056125,0.000000,0.014031
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.001519,0.000380,0.000380,0.000380
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.009208,0.009208,0.000000,0.002302
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2997.382829,2997.382829,0.000000,749.345707
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.918770,5.918770,0.000000,1.479692
openmp-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.213493,0.213493,0.000000,0.053373
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.014643,0.014643,0.000000,0.003661
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.068586,0.068586,0.000000,0.017146
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.694342,0.173586,0.173586,0.173586
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.453044,0.163891,0.094830,0.113261
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11987.546721,2998.008711,2996.319669,2996.886680
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,4.129118,1.095954,0.856819,1.032279
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.669144,0.172807,0.154557,0.167286
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.223388,0.058826,0.049638,0.055847
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,1.334235,0.343241,0.321164,0.333559
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.104580,0.026145,0.026145,0.026145
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.095188,0.024139,0.023617,0.023797
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],11991.788864,2999.669641,2996.791903,2997.947216
openmp-perfmon,BaseStrainMapping applyDJT,CPI,1.862381,0.471722,0.459002,0.465595
openmp-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.148694,0.040886,0.035186,0.037173
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.027333,0.008566,0.006014,0.006833
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.731799,0.209504,0.170625,0.182950
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.078189,0.019547,0.019547,0.019547
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.074390,0.018856,0.018417,0.018597
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11987.474635,2997.817858,2995.379149,2996.868659
openmp-perfmon,BaseDeformationMapping apply,CPI,2.684332,0.682017,0.666102,0.671083
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.288337,0.073098,0.070468,0.072084
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.094393,0.023960,0.023097,0.023598
openmp-perfmon,BaseDeformationMapping apply,L2 miss ratio,1.309547,0.332123,0.324490,0.327387
openmp-perfmon,Simu,Runtime (RDTSC) [s],10.984968,2.746242,2.746242,2.746242
openmp-perfmon,Simu,Runtime unhalted [s],1.241262,1.241262,0.000000,0.310316
openmp-perfmon,Simu,Clock [MHz],2992.625599,2992.625599,0.000000,748.156400
openmp-perfmon,Simu,CPI,0.843972,0.843972,0.000000,0.210993
openmp-perfmon,Simu,L2 request rate,0.087852,0.087852,0.000000,0.021963
openmp-perfmon,Simu,L2 miss rate,0.026874,0.026874,0.000000,0.006719
openmp-perfmon,Simu,L2 miss ratio,0.305902,0.305902,0.000000,0.076475
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.187108,0.046777,0.046777,0.046777
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.205469,0.051450,0.051226,0.051367
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11991.595123,2999.187827,2996.109391,2997.898781
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.799157,0.451495,0.447645,0.449789
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.135219,0.038837,0.031546,0.033805
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.032327,0.008853,0.007590,0.008082
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.958406,0.247638,0.227938,0.239602
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.502959,0.125740,0.125740,0.125740
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.540117,0.136062,0.133835,0.135029
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11985.679734,2997.757318,2995.414152,2996.419933
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.294292,0.578090,0.570167,0.573573
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.289798,0.073422,0.070806,0.072449
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.097549,0.024842,0.023760,0.024387
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,1.346494,0.342912,0.329922,0.336623
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.134560,0.033640,0.033640,0.033640
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.158362,0.040395,0.038000,0.039591
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11995.196830,3001.427405,2996.708710,2998.799207
openmp-perfmon,BaseStrainMapping applyJT,CPI,2.236770,0.566946,0.542223,0.559192
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.224190,0.067003,0.050843,0.056047
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.054272,0.015877,0.012011,0.013568
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.969414,0.248989,0.236239,0.242354
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.008193,0.002048,0.002048,0.002048
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.006712,0.001713,0.001661,0.001678
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],11987.910248,3000.193335,2995.576930,2996.977562
openmp-perfmon,BaseStrainMapping apply,CPI,1.779564,0.453500,0.440878,0.444891
openmp-perfmon,BaseStrainMapping apply,L2 request rate,0.127334,0.034913,0.029904,0.031833
openmp-perfmon,BaseStrainMapping apply,L2 miss rate,0.032346,0.008463,0.007804,0.008086
openmp-perfmon,BaseStrainMapping apply,L2 miss ratio,1.018982,0.265542,0.231182,0.254745
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000454,0.000113,0.000113,0.000113
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001639,0.001639,0.000000,0.000410
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3018.608899,3018.608899,0.000000,754.652225
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,5.958708,5.958708,0.000000,1.489677
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.199345,0.199345,0.000000,0.049836
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.016684,0.016684,0.000000,0.004171
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.083695,0.083695,0.000000,0.020924
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001625,0.000406,0.000406,0.000406
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.010155,0.010155,0.000000,0.002539
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3014.593920,3014.593920,0.000000,753.648480
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.850084,5.850084,0.000000,1.462521
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.185253,0.185253,0.000000,0.046313
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.010397,0.010397,0.000000,0.002599
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.056125,0.056125,0.000000,0.014031
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.001519,0.000380,0.000380,0.000380
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.009208,0.009208,0.000000,0.002302
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2997.382829,2997.382829,0.000000,749.345707
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.918770,5.918770,0.000000,1.479692
openmp-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.213493,0.213493,0.000000,0.053373
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.014643,0.014643,0.000000,0.003661
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.068586,0.068586,0.000000,0.017146
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.694342,0.173586,0.173586,0.173586
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.453044,0.163891,0.094830,0.113261
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11987.546721,2998.008711,2996.319669,2996.886680
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,4.129118,1.095954,0.856819,1.032279
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.669144,0.172807,0.154557,0.167286
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.223388,0.058826,0.049638,0.055847
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,1.334235,0.343241,0.321164,0.333559
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.104580,0.026145,0.026145,0.026145
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.095188,0.024139,0.023617,0.023797
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],11991.788864,2999.669641,2996.791903,2997.947216
openmp-perfmon,BaseStrainMapping applyDJT,CPI,1.862381,0.471722,0.459002,0.465595
openmp-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.148694,0.040886,0.035186,0.037173
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.027333,0.008566,0.006014,0.006833
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.731799,0.209504,0.170625,0.182950
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.078189,0.019547,0.019547,0.019547
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.074390,0.018856,0.018417,0.018597
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11987.474635,2997.817858,2995.379149,2996.868659
openmp-perfmon,BaseDeformationMapping apply,CPI,2.684332,0.682017,0.666102,0.671083
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.288337,0.073098,0.070468,0.072084
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.094393,0.023960,0.023097,0.023598
openmp-perfmon,BaseDeformationMapping apply,L2 miss ratio,1.309547,0.332123,0.324490,0.327387
openmp-perfmon,Simu,Runtime (RDTSC) [s],10.984968,2.746242,2.746242,2.746242
openmp-perfmon,Simu,Runtime unhalted [s],1.241262,1.241262,0.000000,0.310316
openmp-perfmon,Simu,Clock [MHz],2992.625599,2992.625599,0.000000,748.156400
openmp-perfmon,Simu,CPI,0.843972,0.843972,0.000000,0.210993
openmp-perfmon,Simu,L2 request rate,0.087852,0.087852,0.000000,0.021963
openmp-perfmon,Simu,L2 miss rate,0.026874,0.026874,0.000000,0.006719
openmp-perfmon,Simu,L2 miss ratio,0.305902,0.305902,0.000000,0.076475
